"",ADDRESS,Days Open/ Hours Cont.,SECONDARY SERVICE,ZIP CODE,CITY,Languages Offered,WEBSITE,PRIMARY SERVICE,Basic Information,PHONE,TRANSPORTATION,HOURS,lgn,SITE NAME,QUADRANT,STATE,lat,Restrictions? Criteria to Access
,6001 13th St.,,,20011,Washington,,,Food/ Grocery Services,,,,,-77.02879,Nativity Catholic (SHARE site),NW,DC,38.963098,
,3458 Pennsylvania Ave.,,,20020,Washington,,,Food/ Grocery Services,,,,,-76.95446,Nehemiah Food Pantry (SHARE site),SE,DC,38.866908,
,3118 16th St.,,,20010,Washington,,http://www.neighborsconsejo.org,Comprehensive Service Provider,,(202) 234-6855,Metro: Columbia Heights (Green/Yellow Line),"Mon-Fri, 9am-5pm. Sat, 9am-2pm. Thurs by appointment only",-77.036869,Neighbors Consejo,NW,DC,38.929288,
,1739 9th St.,,,20001,Washington,,,Food/ Grocery Services,,,,,-77.023434,New Bethel Baptist (SHARE site),NW,DC,38.913804,
,2826 Bladensburg Rd.,,,20018,Washington,,,Food/ Grocery Services,,,,,-76.9644409,New Canaan Baptist Church (SHARE site),NE,DC,38.926773,
,611 N Street,,Women's Health/ Family Serivces,20001,Washington,,http://www.newendeavorsbywomen.org,Comprehensive Service Provider,,(202) 682-5825,Metro: Mt Vernon Square (Green/Yellow Line),,-77.020545,New Endeavors by Women,NW,DC,38.90751,Women
,754 11th St.,,,20003,Washington,,,Food/ Grocery Services,,,,,-76.9913729,New Hope Freewill Baptist (SHARE site),SE,DC,38.8799012,
,1901 Kendall Street,,,20002,Washington,,,Shelters/ Transitional Housing,,,,,-76.9869484,New Hope Ministries: Crummel Emergency Shelter for Men,NE,DC,38.9130374,
,1839 Alabama Ave.,,,20020,Washington,,,Food/ Grocery Services,,,,,-76.977926,New Image Community Baptist Church (SHARE site),SE,DC,38.847544,
,36th St. and Alton Place,,,20008,Washington,,,Farmers Market,,,,,-77.069844,New Morning Farmers Market,NW,DC,38.947088,
,5016 Sheriff Rd.,,,20019,Washington,,,Food/ Grocery Services,,,,,-76.928768,New Morning Star Baptist Church (SHARE site),NE,DC,38.903801,
,710 58th St.,,,20019,Washington,,,Food/ Grocery Services,,,,,-76.918268,New Mt. Olive Baptist Church (SHARE site),NE,DC,38.898923,
,1100 Florida Ave,,,20002,Washington,,,Food/ Grocery Services,,,,,-76.991553,New Samaritan Baptist (SHARE site),NE,DC,38.903668,
,4417 Douglass St.,,,20019,Washington,,,Food/ Grocery Services,,,,,-76.9774977,New Smyma Baptist (SHARE site),NE,DC,38.8515762,
,1355-57 New York Avenue,,,20002,Washington,,,Shelters/ Transitional Housing,, (202) 832-2359,Metro: New York Ave (Red Line),"7 Days a Week, 7pm-7am",-77.0074077,New York Avenue Shelter- Catholic Community Ministries,NE,DC,38.907853,"Homeless, Men, Age 18+"
,39th St. and Newark St.,,,20016,Washington,,,Community Garden,,,,,-77.077187,Newark Street Community Garden,NW,DC,38.935701,
,1628 16th Street ,Monday-Friday,"Immigrants, Refugees, Asylees",20009,"Washington, DC","English, most other languages available upon request",http://www.newcomerservice.org/actual_web/index.htm,"Legal Services, Job Training, Empowerment","Only available to refugees, immigrants, and asylees.
From the Newcomer Community Service Center website: 
""NCSC’s doors are open to newcomers from all countries, and NCSC clients come from a wide variety of backgrounds and nationalities.  Most of NCSC’s clients are refugees and asylees who have legally resettled in the United States after fleeing their own countries because of the threat of persecution based on their race, religion, nationality, membership in a particular social group, or political opinion. NCSC also serves immigrants who have obtained legal permanent residence status but have not yet become citizens."" 
",(202) 462-4330,"Bus
16th Street and Corcoran Street NW Stop
-Route S2 to Federal Triangle
-Route S4 to Federal Triangle

16th Street and R Street NW Stop 
-Route S2 to Silver Spring
-Route S4 to Silver Spring

16th Street and P Street NW Stop 
-Route G2 to Georgetown University 
-Route G2 to Howard University 
(Then, walk approximately 2 blocks north on 16th Street NW)

R Street and 14th Street NW Stop
-Route 52 to Takoma 
-Route 54 to Takoma
-Route 52 to L'Enfant Plaza
-Route 54 to L'Enfant Plaza
(Then, walk approximately 2 blocks west on R Street, turn left on 16th Street, and walk a short distance south on 16th Street.)

Metro
-Take the Red lines (to Glenmont and Shady Grove) to Dupont Cirle Station 
(Then, walk approximately 2 blocks east on Q Street, turn left on New Hampshire Avenue, walk approximately 1 block northeast on New Hampshire Avenue, turn right on Corcoran Street, walk approximately 3 blocks east on Corcoran Street, and turn left on 16th Street.)",9am-5pm,-77.0369879,Newcomer Community Service Center,NW,DC,38.912088,"Programs Offered: 
-Immigration Services (including maintaining/adjusting legal status and immigration documents, citizenship counseling/workshops)
-English as a Second Language
-Newcomer Employment Program (including weekly job clubs, one-on-one job counseling, and placements services-including accompainiment to interviews)
-Health Education 
-Interpretation/Translation Services
-Emergency Food Assistance
-Sponsorship of and Participation in community events
-Information and Referrals to other service agencies"
,1628 16th St.,,,20009,Washington,,http://www.newcomerservice.org,Job Training/ Adult Education Services,,(202) 462-4330,"Metro: Dupont Circle (Red Line). Bus: S2, S4","Mon-Fri, 9am-5pm. Food: Tues-Thurs, 9:30am-12pm",-77.0369879,Newcomer Community Service Center (Immigration Services),NW,DC,38.912088,Refugee
,200 K Street,,,20001,Washington,,http://www.north-cap.org,Women's Health/ Family Services,,(202) 588-1800,Metro: Union Station (Red Line),,-77.014257,North Capitol Family Support Collaborative,NW,DC,38.902464,
,330 7th Street,,,20002,Washington,,,Library,,,,,-76.996446,Northeast Library,NE,DC,38.894372,
,2112 Varnum St.,,,20018,Washington,,http://northeasternpresbyterianchurch.org,Food/ Grocery Services,,(202) 526-1730,Bus: R4,"Sept-June, 3rd Sat, 10am-11am",-76.974963,Northeastern Presbyterian Church Food Pantry,NE,DC,38.9432959,"Referral Required, Ward 5"
,448 Ridge St,,"
Senior Services",20001,Washington,,http://www.nwsh.org,Teen/ Youth Programs,, (202) 638-4736,Metro: Mt. Vernon Square (Red Line),"Tues-Sat, 9am-5pm",-77.017833,Northwest Settlement House,NW,DC,38.906221,
,125 Michigan Ave,,,20017,Washington,,,Job Training/ Adult Education Services,,(202) 388-5027,Bus: D6,"Mon-Fri, 10am-2:30pm",-77.002981,Notre Dame Education Center,NE,DC,38.92684,
,425 2nd St.,,,20001,Washington,,http://www.newhopeministriesdc.org,Shelters/ Transitional Housing,,(202) 639-8093 ,Metro: Judiciary Square (Red Line),"7 Days a Week, 7pm-7am. Dinner: 5:30pm",-77.013236,Open Door Shelter,NW,DC,38.895446,"Homeless, Women, Age 18+"
,"1666 K Street, Suite 440",,Disabled,20006,"Washington, DC",,http://opfund.org,social interaction,,202 223 2878,"Farragut North --Red Line
Farragut West --Orange Line or Blue Line",,-77.037994,Orthotic and Prosthetic Assistance Fund,NW,DC,38.902372,physical disabled 
,3800 Ely Place,,,20019,Washington,,,Food/ Grocery Services,,,,,-76.947524,Our Lady Queen of Peace (SHARE site),SE,DC,38.883361,
,801 Pennsylvania Ave,,,20003,Washington,,http://www.ourplacedc.org/,Shelters/ Transitional Housing,,(202) 548-2400,Metro: Eastern Market (Blue/Orange Line),"Mon-Fri, 9am-5pm",-76.994677,Our Place DC,SE,DC,38.883696,"Homeless, Women, HIV/AIDS"
,"801 Pennsylvania Avenue, SE
Suite 460 ",,"Children, Teens/ Young Adults, Women Only, Women in contact with Justice System",20003,Washington,,"http://www.ourplacedc.org/pages/abcon.html

email ourplace@ourplacedc.org","Recreational Programs, Artistic/ Creative Services, Empowerment, Referrals, Counseling resources, Support for female prisoners and those returning from prison",,(202) 548-2400,"Blue line to Eastern Market Metro Stop then walk to Penn. Ave, SE",9am-5pm Mon-Fri.,-76.994677,Our Place- Family and Children Services Program,SE,DC,38.883696,a woman or child of a woman in contact with the justice system
,4901 V Street,,,20007,Washington,,,Library,,,,,-77.097185,Palisades Library,NW,DC,38.918435,
,801 18th Street,,"Disabled, Veterans",20006,"Washington, DC",,http://www.pva.org,Medical Provider/ Health Clinic,,,Farragut West-- Orange Line and Blue Line,,-77.041605,Paralyzed Veterans Of America Sports and Recreation Program,NW,DC,38.900272,"Spinal Cord Injury as a result of a trauma or disease, Veteran, US Citizen"
,3924 4th St.,,,20032,Washington,,,Food/ Grocery Services,,,,,-76.999695,Paramount Baptist (SHARE site),SE,DC,38.832225,
,1700 Alabama Avenue,,,20020,Washington,,,Library,,,,,-76.9803018,Parklands-Turner Library,SE,DC,38.8469228,
,9th St. and Peabody St.,,,20011,Washington,,,Community Garden,,,,,-77.025967,Peabody Garden,NW,DC,38.962702,
,712 18th St.,,,20002,Washington,,,Food/ Grocery Services,,,,,-76.9779243,Peace Baptist (SHARE site),NE,DC,38.8981668,
,4929 Ames St.,,,20019,Washington,,,Food/ Grocery Services,,(202) 398-5503,Metro: Benning Road (Blue Line),"Mon-Thurs, 10am-2pm",-76.93171,"Peace Lutheran Church, Emergency Food Center of Ward 7",NE,DC,38.890566,"Ward 7, Referral Required, Call First"
,8th St. and D St.,,,20004,Washington,,,Farmers Market,,,,,-77.022962,Penn Quarter FreshFarm Market,NW,DC,38.894796,
,635 G St.,,,20002,Washington,,,Food/ Grocery Services,,,,,-76.996917,People's Community Church (Share site),NE,DC,38.8988949,
,4704 13th St.,,,20011,Washington,,,Food/ Grocery Services,,,,,-77.030212,Peoples Congregational UCC (SHARE site),NW,DC,38.94738,
,128 M Street,,,20001,Washington,,,Women's Health/ Family Services,,,,,-77.012867,Perry School  (Mobile Unit) (WIC ENROLLMENT SITES/AGENCIES ),NW,DC,38.90533,
,128 M Street,,,20001,Washington,,http://www.perryschool.org,Comprehensive Service Provider,,(202) 312-7140,Metro: New York Ave (Red Line),,-77.012867,"Perry School Community Services Center, Inc.",NW,DC,38.90533,
,4200 Kansas Avenue,,,20011,Washington,,,Library,,,,,-77.0259061,Petworth Library,NW,DC,38.9419472,
,1111 14th St,Program days vary; general office open Monday - Friday,"Anyone and Everyone, LGBT",20005,Washington,,http://www.pflagdc.org/,Counseling resources,,(202) 638-3852,"McPherson Square Metro - Orange/Blue Lines
DC Circulator
32 Bus
D3 Bus",Program times and place vary; general office hours 9-5,-77.03154,PFLAG DC,NW,DC,38.904282,n/a
,1900 Massachusetts Ave,,,20003,Washington,,,Health Services,,,,,-76.975944,Phoenix Health Center (Unity Health Care),SE,DC,38.885855,
,612 17th St.,,,20002,Washington,,,Food/ Grocery Services,,,,,-76.980303,Pilgrim AME Missionary (SHARE site),NE,DC,38.897405,
,700 I St.,,,20002,Washington,,,Food/ Grocery Services,,,,,-76.9958149,Pilgrim Baptist NE (SHARE site),NE,DC,38.901566,
,1108 16th Street,,,20036,Washington,,http://www.plannedparenthood.org,Women's Health/ Family Services,,(202) 347-8512,"Metro: Farragut North (Red Line), Farragut West (Blue/Orange Line)","Mon-Sat, 9am-5pm",-77.037016,Planned Parenthood (Downtown Center),NW,DC,38.90408,"Proof of Income, Medicaid Accepted"
,370 South Washington Street,,,22046,Falls Church,,,Women's Health/ Family Services,,,,,-77.174783,Planned Parenthood (Falls Church Center),,VA,38.880467,
,3937A Minnesota Ave,,,20019,Washington,,http://www.plannedparenthood.org,Women's Health/ Family Services,,(202) 388-4770,Metro: Minnesota Ave (Orange Line),"Mon-Fri, 9am-5pm",-76.9494708,Planned Parenthood (North East Egypt Center),NE,DC,38.8946868,"Proof of Income, Medicaid Accepted"
,1400 Spring Street,,,20910,Silver Spring,,,Women's Health/ Family Services,,,,,-77.033435,Planned Parenthood (Silver Spring Center),,MD,38.998321,
,5301 North Capitol St.,,,20011,Washington,,http://www.plymouth-ucc.org,Food/ Grocery Services,,(202) 723-5330,Bus: K2,"Sat, 10am-12pm",-77.0090095,Plymouth Congregational Church,NE,DC,38.954818,"Identification Required, Referral Required, Low Income"
,11th St. and I. St.,,,20003,Washington,,,Community Garden,,,,,-76.991533,Pomegranate Alley Community Garden,SE,DC,38.879278,
,1225 G St.,,,20003,Washington,,,Senior Services,,(202) 543-6313,Metro: Potomac Ave (Blue/Orange Line),"Mon-Fri, 9am-4pm",-76.989258,Potomac Gardens,SE,DC,38.880265,Seniors
,1 DC Village Lane,,,20032,Washington,,http://potomac.jobcorps.gov/about.aspx,Job Training/ Adult Education Services,,(202) 574-5000,Bus: A4,"Mon-Fri, 8:30am-5pm",-77.0130996,Potomac Job Corps,SW,DC,38.8175866,
,2216 Rhode Island Ave,,,20018,Washington,,http://www.youreyes.org,Health Services,,(202) 269-0203,Metro: Brookland-CUA (Red Line),"Mon-Fri, 9am-5pm",-76.973508,Prevention of Blindness Society of Metropolitan Washington Clinic,NE,DC,38.930687,"Homeless, Low Income, Recent Eye Exam"
,2501 Benning Road,,,20002,Washington,,http://www.preventionworksdc.org,Health Services,,(202) 588-5580,Metro: Minnesota Ave (Orange Line),"Mon-Fri, 9am-5pm",-76.9708998,Prevention Works,NE,DC,38.8977339,
,"1600 K Street, Suite #501 ","Monday-Friday 9-5, Saturday & Sunday 1:00-5:00PM.","Anyone and Everyone, Specific community, ethic, or racial group, Prisoners",20006,Washington,,"http://www.prisonsfoundation.org/index.html
Site updated SEPTEMBER 2009 

Phone number: 202-393-1511","Empowerment, Reforming",,,"Gallery located on 16th street between I and K Streets, NW.  Could take the Blue/Orange line to either Farragut West ( Exit on 17th st side and walk one block north two blocks east) or McPherson Square ( Exit on 15th st side and walk one block north two blocks west). Also accessible from the Red line- get off at Farragut North (Exit on Connecticut Ave side and walk one half block south and two block east). ","Monday-Friday 9-5, Saturday & Sunday 1:00-5:00PM.",-77.036867,Prisons Foundation. Org-Prison Art Gallery,NW,DC,38.902202,Anyone can purchase the art found in the gallery and depending on the prison restrictions the prisoner artists may get a share of the profit. 
,1933 Montana Avenue,,,20002,Washington,,http://www.ntuplc.org,Women's Health/ Family Services,,(202) 842-2016 ,"Bus: E2, D4, B2",,-76.9775108,Progressive Life Center,NE,DC,38.916219,
,825 North Capitol St.,,,20002,Washington,,http://dchealth.dc.gov,Women's Health/ Family Services,,(202) 442-5900,Metro: Union Station (Red Line),"Mon-Fri, 8am-4:45pm",-77.008412,Project WISH (Breast and Cervical Cancer Program),NE,DC,38.900974,"Women, Low Income"
,1325 Maryland Avenue,,,20002,Washington,,,Food/ Grocery Services,,,,,-76.987278,Purity Baptist Church and Urban Center (SHARE site),NE,DC,38.898115,
,3310 Wheeler Road,,Food/ Grocery services,20032,Washington,,,Shelters/ Transitional Housing,,(202) 562-6890,Metro: Congress Heights (Green Line),"Fri-Wed, 10am-11am",-76.99354,Queen of Peace Missionaries of Charity,SE,DC,38.841868,
,1222 11th Street,,Women's Health/ Family Serivces,20001,Washington,,http://www.rachaels.org,Shelters/ Transitional Housing,,(202) 682-1005,Metro: Mt Vernon Square (Green/Yellow Line),"Mon-Sat, 7am-4pm. ",-77.0270619,Rachaels Women's Center,NW,DC,38.9063672,"Women, Homeless, Low Income"
,1002 46th St.,,,20019,Washington,,,Food/ Grocery Services,,,,,-76.9366773,Randall Memorial United Methodist (SHARE site),NE,DC,38.9028632,
,1604 Morris Road,,,20020,Washington,,,Health Services,,,,,-76.9819503,Re-Entry Health Center (Unity Health Care),SE,DC,38.8570727,
,Oklahoma Ave and Benning Rd,,,20002,Washington,,,Farmers Market,,,,,-76.9695045,RFK Stadium Open Air Market,NE,DC,38.8977649,
,680 I Street,,,20024,Washington,,http://www.riverside-dc.org/index.html,LGBT Services,"Provides Christ-Centered, Interracial and Inclusive community of faith.",(202) 554-4330,"Metro: Green line, Waterfront-SEU, 
Exit near intersection of M St Sw and Mall Ave  	

  	Start out going West on M St Sw towards 6th St Sw 	
  	Turn right onto 6th St Sw 	
  	Turn left onto I St Sw 	
  	Arrive at 680 I ST SW, Washington, DC","
Worship is at 10:00 a.m

Sunday Life Enrichment/Bible Study 9-9:50 a.m.
 
""Koinonia"" potluck lunches take place every third Sunday
after worship--bring something to share and
share in return.  Join us for wonderful fellowship.",-77.021843,Riverside Church,SW,DC,38.878884,"Anyone and Everyone, Specific community, ethic, or racial group, Christian/Baptist"
,601 Division Avenue,,,20019,Washington,,,Farmers Market,,,,,-76.925709,Riverside Heritage Park Farmers Market,NE,DC,38.897302,
,1300 H Street,,,20002,Washington,,,Library,,,,,-76.988109,Robert L. Christian Library,NE,DC,38.900427,
,4201 8th St.,,,20011,Washington,,,Food/ Grocery Services,,,,,-77.023021,Rock Creek Baptist (SHARE site),NW,DC,38.94215,
,Military Rd. and Oregon Ave.,,,20015,Washington,,,Community Garden,,,,,-77.052714,Rock Creek Garden,NW,DC,38.9616744,
,26th and O Street,,,20007,Washington,,,Farmers Market,,,,,-77.0547615,Rose Park Farmers Market,NW,DC,38.9086151,
,2000 Rosemount Ave.,Monday-Friday,"Children, Low-Income",20010,Washington ,,http://www.rosemountcenter.com/index.php,Referrals,"All Rosemount Center programs offer and coordinate a range of multilingual comprehensive services including:


•Bilingual instruction
•Individualized curriculum education plans
•Quarterly progress reports 
•Weekly thematic lesson plans
•Immunizations assistance
•Medical referrals
•Nutritional services
•Social services 
•Coordination of speech-language therapy, mental health, physical and occupational therapies
•Developmental, hearing, vision and dental screenings
•Monthly parent meetings, trainings and family socializations
•English as a Second Language (ESL) classes
•Home visits
•Parent/teacher conferences",,"MetroRail: Red Line to Cleveland Park; exit the metrorail onto Connecticut Avenue; walk southeast (down the hill) on Porter Street (closest intersection); at the traffic light, continue straight onto Klingle Rd; make an immediate left onto Rosemount Ave

MetroBus: H-2, H-3 and H-4.",Hours of Operation: 7 AM to 6 PM ,-77.047095,Rosemount,NW,DC,38.933182,
,"1621 Park Road 
",,,20010,Washington,,,Job Training/ Adult Education Services,,(202) 462-6499,Metro: Columbia Heights (Green/Yellow Line),"Mon-Thurs, 9am-12pm, 6pm-9:30pm",-77.037486,Sacred Heart Adult Education Center,NW,DC,38.93242,
,500 Indiana Avenue,,legal services,20001,Washington,,,Women's Health/ Family Services,,,,,-77.018977,"SAFE, Inc. (DC Superior Court- Domestic Violence Intake Center)",NW,DC,38.894198,
,1328 Southern Avenue,,legal services,20032,Washington,,,Women's Health/ Family Services,,,,,-76.9784633,"SAFE, Inc. (United Medical Center-Domestic Violence Intake Center Southeast Satellite)",SE,DC,38.8390757,
,1434 Harvard Street,,,20009,Washington,,,Comprehensive Service Provider,,,,,-77.03365,Salvation Army  (Main),NW,DC,38.926152,
,3101 Martin Luther King Jr. Ave,,,20032,Washington,,,Comprehensive Service Provider,,,,,-76.999166,Salvation Army -East of the River Initiative,SE,DC,38.843832,
,6th and Constitution Avenue,,,20004,Washington,,,Meal Programs,,,,,-77.0199116,Salvation Army Grate Patrol (stop),NW,DC,38.8920695,
,17th and Constitution Avenue,,,20006,Washington,,,Meal Programs,,,,,-77.0394582,Salvation Army Grate Patrol (stop),NW,DC,38.8921126,
,2nd and D steet,,,20001,Washington,,,Meal Programs,,,,,-77.0179802,Salvation Army Grate Patrol (stop) outside CCNV shelter,NW,DC,38.8636658,
,2100 New York Avenue,,,20002,Washington,,,Comprehensive Service Provider,,,,,-76.9733959,Salvation Army Harbor Lights Corps,NE,DC,38.916831,
,3335 Sherman Ave,,,20010,Washington,,,Comprehensive Service Provider,,,,,-77.026446,Salvation Army Sherman Avenue Corps,NW,DC,38.9316827,
,1211 G Steet,,Counseling Services,20003,Washington,,,Comprehensive Service Provider,,,,,-76.989872,Salvation Army: SE Corps,SE,DC,38.881033,
,1516 Hamilton St.,,Job Training/ Adult Education Services ,20020,Washington,,,Counseling Services,,,,,-77.035812,Samaritan Ministry,NW,DC,38.952719,
,1345 U St,,,20011,Washington,,,Women's Health/ Family Services,,,,,-77.0310502,Samaritan Ministry,SE,DC,38.9170368,
,2551 17th St,,,20009,Washington,,http://www.sarahscircle.org,Senior Services,,(202) 332-1400,Metro: Columbia Heights (Green/Yellow Line),"Mon-Fri, 9am-5pm",-77.0388135,Sarah's Circle,NW,DC,38.9244875,"Seniors, Low Income"
,5109 Nannie Burroughs Ave,,,20019,Washington,,,Food/ Grocery Services,,,,,-76.926877,Sargent Memorial Presbyterian (SHARE site),NE,DC,38.897571,
,741 8th Street,,Women's Health/ Family Serivces,20003,Washington,,http://www.sashabruce.org,Teen/ Youth Programs,,(202) 675-9340,Metro: Eastern Market (Blue/Orange Line),,-76.9953419,Sasha Bruce Youthwork,SE,DC,38.879803,"Youth, Families"
,1100 16th Street,Monday to Friday,"Children, Disabled",20036,"Washington, DC",,http://www.sailpcs.org/discover.html,Artistic/ Creative Services,,202 296 9100,"Farragut North: Red Line
Farrague West: Orange and Blue Line",8:45 am - 3:45 pm ,-77.036712,School for ARTS in Learning (SAIL),NW,DC,38.903808,grades k-8
,810 5th St.,,,20001,Washington,,http://www.grm.org,Job Training/ Adult Education Services,,(202) 842-1731,Metro: Gallery Place-Chinatown (Red/Green/Yellow Line),Mon-Fri,-77.019219,School of Tomorrow,NW,DC,38.900331,
,3923 South Capitol St.,,,20032,Washington,,,Food/ Grocery Services,,,,,-77.0084062,Secrets of Nature (SHARE site),SW,DC,38.8330877,
,2451 Good Hope Road,,,20020,Washington,,,Senior Services,,,,,-76.9700813,Senior Citizens Counseling and Delivery Service (SHARE site),SE,DC,38.8618205,
,410 7th Street,,counseling services,20003,Washington,,http://www.smyal.org,Teen/ Youth Programs,,(202) 546-5940,Metro: Eastern Market (Blue/Orange Line),"Mon-Fri, 9am-5pm",-76.995853,Sexual Minority Youth Assistance League (SMYAL),SE,DC,38.883397,
,3825 26th St.,,,20018,Washington,,,Food/ Grocery Services,,,,,-76.9696869,Sharon Baptist Church (SHARE site),NE,DC,38.937017,
,3630 Quesada St.,,,20015,Washington,,,Food/ Grocery Services,,,,,-77.074542,Shrine of the Most Blessed Sacrament Catholic Church (SHARE site),NW,DC,38.968051,
,4501 16th St.,,,20011,Washington,,,Food/ Grocery Services,,,,,-77.035894,Simpson Hamline UMC (SHARE site),NW,DC,38.94549,
,3100 Military Rd.,,Job Training/ Adult Education Services ,20015,Washington,,http://templesinaidc.org,Shelters/ Transitional Housing,,(202) 986-4701,"Bus: M5, E2","Mon-Thurs, 9am-5pm. Fri, 9am-4pm",-77.062877,Sinai House,NW,DC,38.9603899,
,"
5413 16th Street



",,,20011,Washington,,http://www.sixthpresbyterian.org,Food/ Grocery Services,,(202) 723-5377,Bus: 54,"2nd and 4th Wed, 12:30pm-2pm",-77.035622,Sixth Presbyterian Church,NW,DC,38.955696,"Low Income, Identification Required, Referral Required after 2 Visits"
,71 O St.,,,20001,Washington,,http://www.some.org,Comprehensive Service Provider,,(202) 797-8806,"Metro: New York Ave (Red Line), Mt Vernon Square (Green/Yellow Line)","7 Days a Week. Meals: 7am-8:30am, 11am-1:30pm. Referrals: Mon-Fri, 8am-11am, 1pm-3pm",-77.011113,So Others Might Eat (SOME),NW,DC,38.90844,"Homeless, Low Income"
,2815 O St.,,,20020,Washington,,http://www.some.org,Job Training/ Adult Education Services,,(202) 583-4655,"Bus: 32, 36","Mon-Fri, 8:30am-3:30pm",-76.9669931,SOME Center for Employment Training,SE,DC,38.8729255,"Homeless, Low Income, Age 18+"
,60 O St.,,,20001,Washington,,http://www.some.org,Health Services,,(202) 797-8806 ,Metro: New York Ave (Red Line),"Mon-Fri, 8am-4pm",-77.011103,SOME Medical Clinic and Dental Clinic,NW,DC,38.90819,"Homeless, Low Income"
,2812 Pennsylvania Avenue,,,20020,Washington,,http://www.some.org,Senior Services,,(202) 582-7138,"Bus: V7, U2","Mon-Fri, 10am-2pm",-76.9668967,SOME's Dwelling Place Senior Center,SE,DC,38.8719664,Seniors
,820 Chesapeake St.,,Food/Grocery Services,20032,Washington,,,Health Services,,(202) 745-8685,"Bus: M8, A2, P12","Mon-Fri, 9am-5pm",-76.992381,South East Veteran's Center,SE,DC,38.829448,Veterans
,1501 Half Street,,,20024,Washington,,,Women's Health/ Family Services,,,,,-77.0106669,South Washington/West of The River Family Strengthening Collaborative (SWWR),SW,DC,38.8720043,
,403 7th Street,,,20003,Washington,,,Library,,,,,-76.9961946,Southeast Library,SE,DC,38.8843393,
,"3111 Martin Luther King, Jr. Ave
",,,20032,Washington,,http://www.reformationdc.org,Job Training/ Adult Education Services,,(202) 562-2636,"Bus: A4, A2, A8","Mon-Fri, 8:30am-5pm",-76.999767,Southeast Ministries/Anacostia Men's Employment Network,SE,DC,38.843591,Men Age 18+
,3111 Martin Luther King Jr. Avenue,,,20032,Washington,,,Job Training/ Adult Education Services,,,,,-76.999767,Southeast Ministry's GED Program (formerly Moms & Tots),SE,DC,38.843591,
,156 Q Street,,,20001,Washington,,,Job Training/ Adult Education Services,,(202) 488-7210,Metro: Waterfront-SEU (Green Line),"Mon-Fri, 9am-5:30pm",-77.0151575,Southwest Community House,SW,DC,38.9110935,
,850 Delaware Ave,,Women's Health/ Family Serivces,20024,Washington,,,Health Services,,,,,-77.012455,Southwest Health Center (Unity Health (WIC ENROLLMENT SITES/AGENCIES),SW,DC,38.879603,
,900 Wesley Place,,,20024,Washington,,,Library,,,,,-77.016199,Southwest Library,SW,DC,38.879055,
,850 Delaware Ave.,,,20024,Washington,,http://www.unityhealthcare.org,Health Services,,(202) 548-4520,Metro: Waterfront-SEU (Green Line),"Mon-Fri, 8:15am-4:45pm",-77.012455,Southwest Neighborhood Health Center,SW,DC,38.879603,
,1365 Kennedy Street,,Disabled,20011,"Washington, DC",,,Artistic/ Creative Services,,202 547 4156,Take the 54 Bus from I St station heading to 14th St and Colorado Ave NW,,-77.03263,Spark,NW,DC,38.956451,Spark reaches out to Deaf communities
,725 24th St.,,Comprehensive service provider,20037,Washington,,http://www.stmaryscourt.org,Senior Services,,(202) 452-1115,Metro: Foggy Bottom-GWU (Blue/Orange Line),"Mon-Fri, 9am-5pm",-77.051053,St Mary's Court,NW,DC,38.898864,"Seniors, Disabled"
,3001 Wisconsin Ave.,,Comprehensive service provider,20016,Washington,,http://www.st-albans-parish.org,Senior Services,,(202) 363-8286,"Bus: 31, 32","Mon-Fri, 9am-1pm",-77.072804,St. Albans Episcopal Church (Super Sixties),NW,DC,38.928985,Seniors
,1029 Monroe St.,,,20017,Washington,,,Food/ Grocery Services,,,,,-76.9910818,St. Anthony Catholic (SHARE site),NE,DC,38.9323244,
,15th and V St.,,,20009,Washington,,,Food/ Grocery Services,,,,,-77.0345326,St. Augustine Catholic (SHARE site),NW,DC,38.9181171,
,321 21st St.,,,20002,Washington,,,Food/ Grocery Services,,,,,-76.9750479,St. Benedict the Moor (SHARE site),NE,DC,38.8941722,
,4410 Georgia Ave.,,Food/ Grocery services,20011,Washington,,,Food/ Grocery Services,,,,,-77.0263573,St. Charles Baptist Church,NW,DC,38.944624,
,4201 Abermarle St.,,,20016,Washington,,,Food/ Grocery Services,,,,,-77.8976106,St. Columba's Episcopal Church,NW,DC,35.7181699,
,"2700 Martin Luther King, Jr. Ave",,,20032,Washington,,,Health Services,,,,,-76.9953919,St. Elizabeth's Hospital,SE,DC,38.847222,
,2015 Rhode Island Ave.,,,20018,Washington,,,Food/ Grocery Services,,,,,-76.9755573,St. Francis de Sales Catholic (SHARE site),NE,DC,38.9292895,
,2815 O St.,,,20020,Washington,,,Food/ Grocery Services,,,,,-76.9669931,St. Francis Xavier (SHARE site),SE,DC,38.8729255,
,160 U St.,,,20001,Washington,,http://www.stgeorgesdc.org,Meal Programs,,(202) 387-6421,Bus: 80,"Every other Sat, 9am-11:30am",-77.014198,"St. George's Episcopal Church, Kwanza Kitchen",NW,DC,38.916886,
,4611 Nannie Helen Burroughs Ave.,,,20019,Washington,,,Food/ Grocery Services,,,,,-76.9361234,St. James Church of Deliverance (SHARE site),NE,DC,38.8994549,
,5228 Call Place,,,20019,Washington,,,Food/ Grocery Services,,,,,-76.926513,St. John Baptist (SHARE site),SE,DC,38.884273,
,2801 Stanton Rd.,,,20020,Washington,,,Food/ Grocery Services,,,,,-76.987267,St. John CME (SHARE site),SE,DC,38.856843,
